ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
42	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100828899	100829022	100826451	100826518	100833100	100833340	42	10,19,3,9,6,13	0,0,0,0,0,0	27,27,25,38,19,25	0,1,0,0,0,0	219	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.922,1.0,1.0,1.0,1.0	0.013
49	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121564637	121564724	121560385	121560462	121566274	121566346	49	0,1,0,0,0,0	7,6,1,2,1,3	0,1,0,0,1,1	2,2,0,0,3,0	183	96	1	1.0	0.0,0.08,0.0,0.0,0.0,0.0	0.0,0.208,NA,NA,0.149,1.0	-0.326
50	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121566274	121566346	121560385	121560462	121578457	121578747	50	7,7,1,4,2,3	0,0,1,0,0,0	4,4,3,2,4,0	0,0,0,0,0,0	168	96	1	1.0	1.0,1.0,0.364,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,NA	-0.106
53	"ENSMUSG00000018697"	"Aatf"	chr11	-	84509658	84509796	84473051	84473166	84510198	84510417	53	6,12,10,4,5,9	0,0,0,0,0,0	9,10,7,10,9,11	0,0,0,1,0,0	234	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.804,1.0,1.0	0.033
61	"ENSMUSG00000073910"	"Mob3b"	chr4	-	35083769	35084389	34985915	34986118	35157251	35157484	61	17,32,12,15,18,19	0,0,0,0,0,0	20,24,27,33,12,21	0,0,0,0,0,1	716	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.738	0.044
63	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72306563	72306652	72303326	72303462	72308606	72308749	63	0,0,1,1,0,0	1,0,0,0,0,0	0,0,0,4,0,2	2,0,0,0,0,0	185	96	1	1.0	0.0,NA,1.0,1.0,NA,NA	0.0,NA,NA,1.0,NA,1.0	0.0
64	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712539	120711843	120711895	120713692	120713732	64	0,1,0,2,1,0	6,9,0,0,4,6	0,3,1,0,1,3	1,3,2,9,1,0	196	96	1	1.0	0.0,0.052,NA,1.0,0.109,0.0	0.0,0.329,0.197,0.0,0.329,1.0	-0.077
65	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712712	120711843	120711895	120713692	120713732	65	3,7,5,4,4,5	6,9,0,0,4,6	4,5,4,5,3,8	1,3,2,9,1,0	369	96	0.714690239398	1.0	0.115,0.168,1.0,1.0,0.206,0.178	0.51,0.302,0.342,0.126,0.438,1.0	-0.009
67	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56691744	56691882	56686005	56686061	56692520	56692721	67	0,0,0,0,1,0	0,4,1,2,0,0	0,0,0,0,1,1	0,0,0,2,0,0	234	96	1	1.0	NA,0.0,0.0,0.0,1.0,NA	NA,NA,NA,0.0,1.0,1.0	-0.417
68	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56692520	56692721	56686005	56686061	56696601	56696638	68	3,9,2,2,3,4	3,2,2,2,1,3	0,2,1,7,0,0	2,1,0,1,0,0	297	96	1	1.0	0.244,0.593,0.244,0.244,0.492,0.301	0.0,0.393,1.0,0.693,NA,NA	-0.168
70	"ENSMUSG00000061458"	"Nol10"	chr12	+	17368308	17368387	17362594	17362680	17369465	17369615	70	7,3,0,0,1,0	1,0,0,0,0,0	5,0,0,2,7,0	0,0,0,0,0,0	175	96	1	1.0	0.793,1.0,NA,NA,1.0,NA	1.0,NA,NA,1.0,1.0,NA	-0.069
78	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144893584	144893709	144893136	144893375	144918650	144918794	78	52,60,42,45,41,56	1,3,2,4,0,6	33,39,42,52,26,28	2,0,1,4,0,1	221	96	0.0891140142726	1.0	0.958,0.897,0.901,0.83,1.0,0.802	0.878,1.0,0.948,0.85,1.0,0.924	-0.035
79	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144918650	144918794	144919840	144919972	79	75,109,97,121,90,95	0,3,0,0,0,0	63,84,60,108,45,88	2,1,1,0,0,0	371	96	1	1.0	1.0,0.904,1.0,1.0,1.0,1.0	0.891,0.956,0.939,1.0,1.0,1.0	0.02
80	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144918650	144918794	144919840	144919898	80	116,177,133,172,134,137	0,3,0,0,0,0	96,135,110,166,67,118	2,1,1,0,0,0	216	96	1	1.0	1.0,0.963,1.0,1.0,1.0,1.0	0.955,0.984,0.98,1.0,1.0,1.0	0.007
81	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919840	144920079	144919229	144919504	144923905	144924031	81	149,215,169,228,157,192	0,0,0,0,0,0	146,198,143,216,101,161	0,1,0,0,0,0	335	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.983,1.0,1.0,1.0,1.0	0.003
82	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144923905	144924031	144919840	144920079	144927134	144927639	82	138,164,107,152,91,154	0,0,1,0,0,0	105,182,91,162,79,123	0,0,0,0,0,0	222	96	1	1.0	1.0,1.0,0.979,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
85	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96656562	96656757	96655853	96656012	96658582	96658758	85	24,23,3,8,11,21	0,1,0,0,0,0	6,10,7,14,9,9	0,0,0,0,0,0	291	96	1	1.0	1.0,0.884,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.019
87	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75721277	75721539	75716628	75717698	75725258	75725404	87	6,10,3,9,5,7	0,0,0,0,0,0	7,8,15,18,11,19	0,0,0,0,1,0	358	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.747,1.0	0.042
88	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75729025	75729135	75726857	75727019	75732399	75732411	88	0,0,0,0,0,0	3,1,1,2,0,4	0,1,0,0,0,0	0,3,5,3,2,2	206	96	1	1.0	0.0,0.0,0.0,0.0,NA,0.0	NA,0.134,0.0,0.0,0.0,0.0	-0.027
89	"ENSMUSG00000057841"	"Rpl32"	chr6	-	115806985	115807167	115805504	115805688	115807801	115807902	89	523,708,312,467,312,406	0,1,0,0,0,0	260,434,304,548,321,425	0,0,0,0,0,0	278	96	1	1.0	1.0,0.996,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
91	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48490847	48490938	48488700	48489988	48493406	48493494	91	18,33,6,32,21,35	0,1,1,0,4,1	13,14,26,35,24,20	0,0,1,0,0,0	187	96	0.509184795675	1.0	1.0,0.944,0.755,1.0,0.729,0.947	1.0,1.0,0.93,1.0,1.0,1.0	-0.092
92	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48494282	48494387	48494018	48494181	48495154	48495294	92	2,5,6,6,0,5	9,7,7,2,1,1	0,4,1,0,10,10	7,6,3,4,0,3	201	96	0.60511192416	1.0	0.096,0.254,0.29,0.589,0.0,0.705	0.0,0.242,0.137,0.0,1.0,0.614	-0.01
93	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	139997971	139998100	139996781	139996945	139998768	139998912	93	4,5,2,5,2,10	0,0,0,0,0,0	3,3,2,6,3,1	1,0,0,0,0,0	225	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.561,1.0,1.0,1.0,1.0,1.0	0.073
94	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	140029826	140029986	140007886	140008094	140031010	140031187	94	3,5,1,3,2,1	0,0,0,1,0,0	1,1,1,6,0,5	0,0,0,0,0,0	256	96	1	1.0	1.0,1.0,1.0,0.529,1.0,1.0	1.0,1.0,1.0,1.0,NA,1.0	-0.079
96	"ENSMUSG00000037098"	"Rab11fip3"	chr17	-	25997928	25998032	25994185	25994326	26004550	26004644	96	85,124,44,78,73,81	1,0,0,0,0,0	87,94,92,125,61,85	0,0,0,0,0,0	200	96	1	1.0	0.976,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
97	"ENSMUSG00000037098"	"Rab11fip3"	chr17	-	26008854	26008890	26003650	26004644	26013773	26013917	97	32,59,22,31,29,62	3,1,1,0,7,4	22,51,40,62,28,50	1,1,1,2,1,3	132	96	0.082346780881	1.0	0.886,0.977,0.941,1.0,0.751,0.919	0.941,0.974,0.967,0.958,0.953,0.924	-0.041
98	"ENSMUSG00000037098"	"Rab11fip3"	chr17	-	26011996	26012131	26008854	26008890	26013773	26013917	98	4,15,7,5,2,9	22,34,11,13,21,40	13,3,5,13,4,10	17,31,25,39,22,31	231	96	0.916266038007	1.0	0.07,0.155,0.209,0.138,0.038,0.086	0.241,0.039,0.077,0.122,0.07,0.118	0.005
103	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64742954	64743098	64739674	64740974	64751728	64751830	103	18,23,12,9,8,14	0,1,0,0,0,0	13,10,19,24,7,36	0,0,0,0,0,0	240	96	1	1.0	1.0,0.902,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.016
104	"ENSMUSG00000031605"	"Klhl2"	chr8	-	64798360	64798459	64779697	64779860	64811679	64811801	104	0,0,0,0,0,1	2,6,4,2,3,3	0,1,1,0,0,0	7,10,7,8,5,9	195	96	1	1.0	0.0,0.0,0.0,0.0,0.0,0.141	0.0,0.047,0.066,0.0,0.0,0.0	0.005
109	"ENSMUSG00000059743"	"Fdps"	chr3	-	89100920	89101136	89100668	89100831	89101861	89101888	109	1,1,0,0,0,1	2,1,1,1,0,1	0,0,2,0,4,0	0,0,0,0,0,2	312	96	1	1.0	0.133,0.235,0.0,0.0,NA,0.235	NA,NA,1.0,NA,1.0,0.0	-0.546
111	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886852	124886946	124886682	124886779	124887757	124887819	111	20,26,12,24,11,22	0,0,0,0,0,1	18,24,16,41,24,41	0,0,0,0,0,0	190	96	1	1.0	1.0,1.0,1.0,1.0,1.0,0.917	1.0,1.0,1.0,1.0,1.0,1.0	-0.014
113	"ENSMUSG00000036879"	"Phkb"	chr8	+	85843003	85843112	85841001	85841103	85875633	85875723	113	0,2,0,0,0,1	2,2,1,0,2,2	0,0,1,2,0,0	0,0,2,2,3,3	205	96	1	1.0	0.0,0.319,0.0,NA,0.0,0.19	NA,NA,0.19,0.319,0.0,0.0	-0.025
114	"ENSMUSG00000036879"	"Phkb"	chr8	+	85843020	85843112	85840958	85841103	85875633	85875723	114	0,1,0,0,0,1	2,2,1,0,2,2	0,0,1,1,0,0	0,0,2,2,3,3	188	96	1	1.0	0.0,0.203,0.0,NA,0.0,0.203	NA,NA,0.203,0.203,0.0,0.0	-0.02
115	"ENSMUSG00000036879"	"Phkb"	chr8	+	85848673	85848731	85843050	85843112	85875633	85875723	115	0,1,1,1,2,1	0,1,0,0,0,1	0,0,0,1,1,1	0,0,1,1,0,0	154	96	1	1.0	NA,0.384,1.0,1.0,1.0,0.384	NA,NA,0.0,0.384,1.0,1.0	0.158
116	"ENSMUSG00000036879"	"Phkb"	chr8	+	85896668	85896757	85896429	85896537	85901876	85901957	116	0,0,0,0,0,0	4,7,1,5,2,5	0,0,0,0,1,0	3,4,0,7,2,4	185	96	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,NA,0.0,0.206,0.0	-0.041
117	"ENSMUSG00000036879"	"Phkb"	chr8	+	85922126	85922242	85901876	85901957	85935407	85935471	117	6,11,2,3,3,3	0,0,0,0,0,0	8,16,9,14,9,14	1,0,0,0,0,0	212	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.784,1.0,1.0,1.0,1.0,1.0	0.036
118	"ENSMUSG00000036879"	"Phkb"	chr8	+	85935407	85935471	85901876	85901957	85940840	85940936	118	6,5,5,0,1,2	0,0,0,0,0,0	5,5,7,7,7,3	0,0,1,0,0,0	160	96	1	1.0	1.0,1.0,1.0,NA,1.0,1.0	1.0,1.0,0.808,1.0,1.0,1.0	0.032
119	"ENSMUSG00000036879"	"Phkb"	chr8	+	86021384	86021446	86019035	86019126	86021542	86021705	119	5,14,6,6,11,8	1,0,0,0,0,0	15,8,13,17,13,19	0,0,0,0,0,0	158	96	1	1.0	0.752,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.041
120	"ENSMUSG00000036879"	"Phkb"	chr8	+	86022737	86022819	86021542	86021705	86029481	86029684	120	3,8,2,1,6,3	0,0,0,0,0,0	2,7,3,0,9,6	0,0,0,1,0,0	178	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.0,1.0,1.0	0.167
121	"ENSMUSG00000036879"	"Phkb"	chr8	+	86024280	86024338	86022737	86022819	86029481	86029684	121	3,6,3,2,5,5	0,0,0,0,0,1	1,1,3,2,4,3	0,0,0,0,0,0	154	96	1	1.0	1.0,1.0,1.0,1.0,1.0,0.757	1.0,1.0,1.0,1.0,1.0,1.0	-0.041
122	"ENSMUSG00000036879"	"Phkb"	chr8	+	86026456	86026547	86024280	86024338	86029481	86029684	122	5,13,5,5,9,12	0,1,0,0,0,0	8,11,11,5,11,8	0,0,0,0,0,0	187	96	1	1.0	1.0,0.87,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.022
123	"ENSMUSG00000023143"	"Nagpa"	chr16	-	5199942	5200051	5199615	5199744	5201373	5201513	123	1,2,2,4,0,3	0,0,0,1,0,0	3,6,0,6,2,5	0,0,0,0,0,0	205	96	1	1.0	1.0,1.0,1.0,0.652,NA,1.0	1.0,1.0,NA,1.0,1.0,1.0	-0.07
124	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100589678	100589778	100584981	100585055	100589897	100589989	124	4,0,2,0,2,0	27,38,17,17,17,20	0,2,2,1,0,2	15,19,12,30,18,30	196	96	1	1.0	0.068,0.0,0.054,0.0,0.054,0.0	0.0,0.049,0.075,0.016,0.0,0.032	0.001
127	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100601727	100601816	100599184	100599309	100619527	100619576	127	27,42,16,26,25,24	1,0,0,0,0,0	13,26,16,26,22,23	0,0,0,0,0,0	185	96	1	1.0	0.933,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
128	"ENSMUSG00000028441"	"1110017D15Rik"	chr4	-	41507093	41507328	41505567	41505654	41507520	41507593	128	0,0,0,0,0,0	0,0,0,0,0,1	0,0,0,1,0,0	0,0,0,0,0,0	331	96	1	1.0	NA,NA,NA,NA,NA,0.0	NA,NA,NA,1.0,NA,NA	-1.0
130	"ENSMUSG00000028441"	"1110017D15Rik"	chr4	-	41507098	41507328	41505567	41505654	41507520	41507593	130	0,0,1,0,0,0	0,0,0,0,0,1	0,0,0,1,0,0	0,0,0,0,0,0	326	96	1	1.0	NA,NA,1.0,NA,NA,0.0	NA,NA,NA,1.0,NA,NA	-0.5
133	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50143718	50143784	50110382	50110454	50145773	50145892	133	8,8,3,8,6,5	0,0,0,0,0,0	7,14,14,13,10,8	0,0,0,1,0,0	162	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.885,1.0,1.0	0.019
134	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50145773	50145892	50110277	50110464	50158681	50158834	134	6,15,9,6,6,12	0,0,0,0,0,0	13,15,4,16,15,16	0,0,0,1,0,0	215	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.877,1.0,1.0	0.021
136	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50176876	50176918	50163421	50163649	50178388	50178520	136	0,1,0,0,0,0	6,11,11,5,14,12	1,0,0,0,1,0	19,28,8,30,12,19	138	96	1	1.0	0.0,0.059,0.0,0.0,0.0,0.0	0.035,0.0,0.0,0.0,0.055,0.0	-0.005
137	"ENSMUSG00000038388"	"Mpp6"	chr6	+	50183709	50183871	50180590	50180659	50194525	50194728	137	45,62,22,68,32,48	0,0,0,0,0,0	74,110,80,137,72,107	0,0,1,0,0,0	258	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.967,1.0,1.0,1.0	0.005
138	"ENSMUSG00000021277"	"Traf3"	chr12	+	111166998	111167107	111166485	111166602	111219810	111219921	138	1,0,0,1,1,0	0,1,0,0,0,0	0,0,1,2,0,1	0,0,0,0,0,0	205	96	1	1.0	1.0,0.0,NA,1.0,1.0,NA	NA,NA,1.0,1.0,NA,1.0	-0.25
140	"ENSMUSG00000021277"	"Traf3"	chr12	+	111219810	111219921	111166462	111166602	111237561	111237820	140	0,2,0,0,0,2	0,0,0,0,1,0	2,2,3,0,6,3	0,0,0,0,0,0	207	96	1	1.0	NA,1.0,NA,NA,0.0,1.0	1.0,1.0,1.0,NA,1.0,1.0	-0.333
141	"ENSMUSG00000021277"	"Traf3"	chr12	+	111219810	111219921	111166998	111167107	111237561	111237820	141	1,1,0,1,1,2	0,0,1,0,0,0	2,2,4,2,6,4	0,0,0,0,0,0	207	96	1	1.0	1.0,1.0,0.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.167
144	"ENSMUSG00000030795"	"Fus"	chr7	+	127969716	127969871	127969561	127969586	127971837	127971982	144	56,56,44,37,34,42	0,0,0,0,0,0	20,32,33,59,45,69	0,0,1,0,0,0	251	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.927,1.0,1.0,1.0	0.012
145	"ENSMUSG00000030795"	"Fus"	chr7	+	127974399	127974434	127972553	127972770	127975887	127975920	145	20,18,18,22,18,19	1,2,0,0,1,2	8,2,8,10,25,16	3,1,1,2,0,2	131	96	0.0766740261031	1.0	0.936,0.868,1.0,1.0,0.93,0.874	0.661,0.594,0.854,0.786,1.0,0.854	0.143
147	"ENSMUSG00000056342"	"Usp34"	chr11	+	23333438	23333859	23320660	23320748	23343319	23343370	147	14,15,12,13,10,16	0,0,0,0,0,0	14,17,13,15,11,14	2,1,0,1,0,0	517	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.565,0.759,1.0,0.736,1.0,1.0	0.157
148	"ENSMUSG00000056342"	"Usp34"	chr11	+	23362576	23362612	23361586	23361716	23363057	23363188	148	0,1,0,0,0,0	4,4,4,0,2,0	0,0,0,0,0,0	0,4,2,7,2,6	132	96	1	1.0	0.0,0.154,0.0,NA,0.0,NA	NA,0.0,0.0,0.0,0.0,0.0	0.038
