ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
31	"ENSMUSG00000020486"	"Sept4"	chr11	+	87589955	87590055	87590008	87590055	87589655	87589818	31	18,29,4,16,8,6	2,2,1,1,0,0	3,6,2,7,8,8	1,0,0,0,0,1	149	96	0.760564937148	1.0	0.853,0.903,0.72,0.912,1.0,1.0	0.659,1.0,1.0,1.0,1.0,0.838	-0.018
32	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370600	89370675	89370603	89370675	89370394	89370488	32	0,4,0,1,2,3	5,20,7,7,3,4	2,0,1,0,3,3	5,5,7,13,7,8	99	96	0.859269705183	1.0	0.0,0.162,0.0,0.122,0.393,0.421	0.279,0.0,0.122,0.0,0.294,0.267	0.023
34	"ENSMUSG00000036955"	"Kif1bp"	chr10	-	62563235	62563508	62563235	62563351	62566036	62566121	34	0,1,0,0,0,0	9,11,3,8,13,12	1,0,0,0,1,0	8,3,6,16,9,11	253	96	1	1.0	0.0,0.033,0.0,0.0,0.0,0.0	0.045,0.0,0.0,0.0,0.04,0.0	-0.009
37	"ENSMUSG00000022195"	"6030458C11Rik"	chr15	-	12817857	12818284	12817857	12818127	12821403	12821553	37	7,10,9,8,5,5	0,1,0,0,0,1	8,6,5,14,2,8	0,0,0,0,0,0	253	96	1	1.0	1.0,0.791,1.0,1.0,1.0,0.655	1.0,1.0,1.0,1.0,1.0,1.0	-0.092
39	"ENSMUSG00000015966"	"Il17rb"	chr14	-	30002362	30003046	30002362	30002414	30003560	30003687	39	8,1,0,4,2,2	0,0,1,0,0,0	4,0,3,2,3,9	1,1,0,0,1,0	728	96	1	1.0	1.0,1.0,0.0,1.0,1.0,1.0	0.345,0.0,1.0,1.0,0.283,1.0	0.229
44	"ENSMUSG00000022679"	"Mpv17l"	chr16	+	13946528	13946587	13946557	13946587	13944665	13944736	44	5,10,4,7,1,3	131,217,104,127,109,127	6,11,2,8,3,4	137,177,189,233,117,196	125	96	0.752100781423	1.0	0.028,0.034,0.029,0.041,0.007,0.018	0.033,0.046,0.008,0.026,0.019,0.015	0.002
45	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108584	23108633	23108587	23108633	23107758	23107820	45	16,20,8,10,4,10	26,42,9,12,22,9	1,5,7,9,5,3	10,13,20,19,15,11	99	96	0.0439712594956	0.996972121237	0.374,0.316,0.463,0.447,0.15,0.519	0.088,0.272,0.253,0.315,0.244,0.209	0.148
46	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108584	23108633	23108587	23108633	23107770	23107880	46	1,1,0,0,0,0	0,1,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	99	96	1	1.0	1.0,0.492,NA,NA,NA,NA	0.0,NA,NA,NA,NA,NA	0.746
48	"ENSMUSG00000041890"	"Git2"	chr5	-	114752278	114752330	114752278	114752327	114753278	114753324	48	0,2,0,4,0,1	1,0,1,0,2,0	1,1,0,0,0,2	1,1,0,2,3,0	99	96	1	1.0	0.0,1.0,0.0,1.0,0.0,1.0	0.492,0.492,NA,0.0,0.0,1.0	0.103
49	"ENSMUSG00000116048"	"Sept2"	chr1	+	93489123	93489154	93489127	93489154	93478992	93479068	49	8,0,4,2,0,4	0,0,1,0,0,0	5,6,4,7,2,1	0,0,0,0,0,0	100	96	1	1.0	1.0,NA,0.793,1.0,NA,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.052
50	"ENSMUSG00000038543"	"BC028528"	chr3	-	95884969	95885071	95884969	95885068	95888140	95888296	50	2,0,1,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,1,0	99	96	1	1.0	1.0,NA,1.0,NA,NA,NA	0.0,NA,NA,NA,0.0,NA	1.0
51	"ENSMUSG00000063445"	"Nmral1"	chr16	-	4711316	4711680	4711316	4711603	4713639	4713830	51	0,0,0,0,0,0	3,2,1,0,0,1	0,0,0,1,0,0	1,1,0,0,0,2	173	96	1	1.0	0.0,0.0,0.0,NA,NA,0.0	0.0,0.0,NA,1.0,NA,0.0	-0.25
54	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107749707	107749799	107749707	107749796	107750007	107750092	54	10,15,7,8,6,1	0,2,0,0,0,0	4,10,1,5,5,8	0,1,0,1,0,0	99	96	1	1.0	1.0,0.879,1.0,1.0,1.0,1.0	1.0,0.907,1.0,0.829,1.0,1.0	0.024
56	"ENSMUSG00000029370"	"Rassf6"	chr5	-	90608798	90608992	90608798	90608953	90609714	90609812	56	3,1,0,0,2,0	0,0,0,0,0,0	3,4,3,0,2,1	0,1,0,0,0,0	135	96	1	1.0	1.0,1.0,NA,NA,1.0,NA	1.0,0.74,1.0,NA,1.0,1.0	0.052
57	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26374491	26374564	26374491	26374560	26374642	26374747	57	1,2,0,2,2,2	1,0,0,0,0,0	0,0,1,0,1,4	0,0,0,0,0,0	100	96	1	1.0	0.49,1.0,NA,1.0,1.0,1.0	NA,NA,1.0,NA,1.0,1.0	-0.102
59	"ENSMUSG00000030562"	"Nox4"	chr7	+	87295783	87295894	87295787	87295894	87247487	87247583	59	43,61,37,49,51,73	18,22,17,17,24,23	27,21,38,30,22,41	8,22,7,15,10,8	100	96	0.968555061011	1.0	0.696,0.727,0.676,0.735,0.671,0.753	0.764,0.478,0.839,0.658,0.679,0.831	0.001
61	"ENSMUSG00000004393"	"Ddx56"	chr11	-	6266810	6266971	6266810	6266917	6267417	6267579	61	0,3,2,2,0,7	0,0,0,0,1,0	4,6,2,11,6,11	0,0,0,0,0,0	150	96	1	1.0	NA,1.0,1.0,1.0,0.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.2
62	"ENSMUSG00000028741"	"Mrto4"	chr4	-	139349613	139349847	139349613	139349717	139350435	139350494	62	0,0,0,1,1,0	1,6,0,2,2,3	0,1,0,1,1,1	1,0,3,3,0,5	226	96	1	1.0	0.0,0.0,NA,0.175,0.175,0.0	0.0,1.0,0.0,0.124,1.0,0.078	-0.297
63	"ENSMUSG00000006288"	"Ttc5"	chr14	-	50775290	50775450	50775290	50775382	50777261	50777412	63	0,3,1,1,1,2	1,6,1,4,8,4	0,0,0,1,0,0	3,4,2,4,2,5	164	96	0.079531563432	1.0	0.0,0.226,0.369,0.128,0.068,0.226	0.0,0.0,0.0,0.128,0.0,0.0	0.148
67	"ENSMUSG00000029462"	"Vps29"	chr5	+	122360012	122360204	122360028	122360204	122354421	122354476	67	19,40,12,26,18,24	0,0,1,0,0,0	21,19,19,42,29,45	0,0,0,0,2,0	112	96	1	1.0	1.0,1.0,0.911,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.926,1.0	-0.003
71	"ENSMUSG00000017978"	"Cadps2"	chr6	-	23344206	23344372	23344206	23344363	23355823	23355927	71	0,0,0,0,0,0	2,1,1,3,0,5	0,0,0,0,0,1	0,0,0,0,1,0	105	96	1	1.0	0.0,0.0,0.0,0.0,NA,0.0	NA,NA,NA,NA,0.0,1.0	-0.5
72	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89293435	89293666	89293435	89293630	89293738	89293869	72	9,11,2,5,6,6	0,0,0,0,0,0	0,4,7,8,6,3	0,0,0,0,0,2	132	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	NA,1.0,1.0,1.0,1.0,0.522	0.096
75	"ENSMUSG00000036990"	"Otud4"	chr8	+	79661037	79661135	79661040	79661135	79659397	79659462	75	3,2,0,0,0,2	1,2,0,0,0,0	2,7,0,5,0,0	0,0,0,0,0,2	99	96	1	1.0	0.744,0.492,NA,NA,NA,1.0	1.0,1.0,NA,1.0,NA,0.0	-0.005
76	"ENSMUSG00000027206"	"Cops2"	chr2	-	125842621	125842732	125842621	125842711	125844809	125844935	76	5,12,5,11,3,4	5,14,3,15,10,20	7,9,3,9,2,8	10,21,12,11,12,10	117	96	0.560291983763	1.0	0.451,0.413,0.578,0.376,0.198,0.141	0.365,0.26,0.17,0.402,0.12,0.396	0.074
77	"ENSMUSG00000021504"	"B4galt7"	chr13	+	55604019	55604382	55604119	55604382	55600064	55600192	77	4,5,0,1,0,6	0,0,0,0,0,1	4,4,3,2,3,5	0,0,0,0,0,0	196	96	1	1.0	1.0,1.0,NA,1.0,NA,0.746	1.0,1.0,1.0,1.0,1.0,1.0	-0.064
81	"ENSMUSG00000040054"	"Baz2a"	chr10	+	128096379	128096523	128096438	128096523	128091634	128091776	81	0,0,2,0,1,0	0,0,0,0,0,0	3,1,1,0,0,0	0,0,0,1,0,0	155	96	1	1.0	NA,NA,1.0,NA,1.0,NA	1.0,1.0,1.0,0.0,NA,NA	0.25
82	"ENSMUSG00000040054"	"Baz2a"	chr10	+	128096379	128096523	128096438	128096523	128092782	128092850	82	0,1,2,0,0,0	0,0,0,1,0,0	2,1,1,0,0,0	0,0,0,1,0,0	155	96	1	1.0	NA,1.0,1.0,0.0,NA,NA	1.0,1.0,1.0,0.0,NA,NA	-0.083
83	"ENSMUSG00000040054"	"Baz2a"	chr10	+	128113459	128113681	128113462	128113681	128112581	128112767	83	2,3,0,1,0,1	3,5,1,0,0,1	0,0,1,1,0,1	2,1,3,2,1,1	99	96	1	1.0	0.393,0.368,0.0,1.0,NA,0.492	0.0,0.0,0.244,0.327,0.0,0.492	0.273
84	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101886960	101887070	101886960	101887067	101888086	101888316	84	3,11,3,8,5,7	0,1,0,0,0,0	0,7,16,1,6,8	1,0,0,0,0,0	99	96	1	1.0	1.0,0.914,1.0,1.0,1.0,1.0	0.0,1.0,1.0,1.0,1.0,1.0	0.152
85	"ENSMUSG00000043940"	"Wdfy3"	chr5	-	101923855	101924103	101923855	101924087	101926423	101926536	85	0,0,0,0,0,0	2,3,0,4,7,3	0,1,0,0,0,0	5,0,6,6,3,6	112	96	1	1.0	0.0,0.0,NA,0.0,0.0,0.0	0.0,1.0,0.0,0.0,0.0,0.0	-0.167
89	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32515283	32517139	32517028	32517139	32514383	32514454	89	11,13,8,7,3,4	0,0,0,1,0,0	4,7,6,8,6,9	0,0,0,0,0,0	1841	96	1	1.0	1.0,1.0,1.0,0.267,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.122
91	"ENSMUSG00000026879"	"Gsn"	chr2	+	35282650	35282721	35282659	35282721	35266819	35266903	91	1,1,0,0,0,0	0,1,0,0,0,1	1,0,0,0,0,0	0,0,0,0,0,0	105	96	1	1.0	1.0,0.478,NA,NA,NA,0.0	1.0,NA,NA,NA,NA,NA	-0.507
93	"ENSMUSG00000039220"	"Ppp1r10"	chr17	+	35924012	35924123	35924036	35924123	35923307	35923425	93	1,0,0,0,0,0	3,8,1,6,1,3	0,0,0,0,1,0	4,6,4,7,9,14	120	96	1	1.0	0.211,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.082,0.0	0.021
94	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82883180	82883361	82883243	82883361	82882227	82882437	94	10,15,6,4,8,3	0,2,0,1,0,0	14,20,16,15,11,22	0,0,0,0,0,0	159	96	1	1.0	1.0,0.819,1.0,0.707,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.079
95	"ENSMUSG00000026159"	"Agfg1"	chr1	+	82894475	82894567	82894481	82894567	82893423	82893582	95	5,10,1,6,2,3	0,0,1,2,0,0	17,16,9,10,8,10	0,6,0,1,4,3	102	96	0.000381889241196	0.0380228853191	1.0,1.0,0.485,0.738,1.0,1.0	1.0,0.715,1.0,0.904,0.653,0.758	0.032
97	"ENSMUSG00000031388"	"Naa10"	chrX	-	73919501	73919546	73919501	73919540	73919753	73919869	97	4,16,11,5,6,14	0,0,0,0,0,0	11,12,9,19,12,19	0,0,0,1,0,0	102	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.947,1.0,1.0	0.009
101	"ENSMUSG00000040557"	"Mettl27"	chr5	+	134932621	134932847	134932720	134932847	134932372	134932410	101	0,1,1,2,0,2	0,1,0,0,0,1	1,0,5,4,4,5	0,0,0,0,0,0	195	96	1	1.0	NA,0.33,1.0,1.0,NA,0.496	1.0,NA,1.0,1.0,1.0,1.0	-0.293
107	"ENSMUSG00000070733"	"Fryl"	chr5	-	73068723	73068914	73068723	73068911	73069882	73070004	107	1,3,0,0,1,0	0,0,0,0,0,1	0,1,0,2,1,1	0,0,0,0,0,0	99	96	1	1.0	1.0,1.0,NA,NA,1.0,0.0	NA,1.0,NA,1.0,1.0,1.0	-0.25
108	"ENSMUSG00000070733"	"Fryl"	chr5	-	73071104	73071309	73071104	73071306	73072735	73072921	108	5,3,0,2,0,2	1,1,0,1,0,0	0,0,0,5,0,0	0,0,0,0,0,0	99	96	1	1.0	0.829,0.744,NA,0.66,NA,1.0	NA,NA,NA,1.0,NA,NA	-0.192
109	"ENSMUSG00000032366"	"Tpm1"	chr9	-	67022592	67024565	67022592	67023441	67031028	67031098	109	6,20,7,9,3,4	24,29,10,13,9,19	9,11,9,14,13,12	16,22,24,23,19,21	1220	96	0.426691180674	1.0	0.019,0.051,0.052,0.052,0.026,0.016	0.042,0.038,0.029,0.046,0.051,0.043	-0.006
110	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187050	89186955	89186998	89187147	89187243	110	1,4,2,1,0,1	0,0,0,0,0,0	3,1,0,0,1,1	0,0,1,0,0,0	148	96	1	1.0	1.0,1.0,1.0,1.0,NA,1.0	1.0,1.0,0.0,NA,1.0,1.0	0.2
111	"ENSMUSG00000079179"	"Rab10os"	chr12	+	3238028	3238112	3238063	3238112	3237590	3237660	111	5,3,2,1,1,5	0,0,1,6,0,0	3,1,3,3,3,2	0,0,0,3,1,0	131	96	0.287268047293	1.0	1.0,1.0,0.594,0.109,1.0,1.0	1.0,1.0,1.0,0.423,0.687,1.0	-0.068
114	"ENSMUSG00000026843"	"Fubp3"	chr2	+	31592462	31592496	31592465	31592496	31583154	31583260	114	3,0,1,0,2,0	0,1,0,0,0,0	3,1,4,7,4,2	0,0,0,0,0,0	99	96	1	1.0	1.0,0.0,1.0,NA,1.0,NA	1.0,1.0,1.0,1.0,1.0,1.0	-0.25
117	"ENSMUSG00000059495"	"Arhgef12"	chr9	-	43008015	43008111	43008015	43008108	43010178	43010253	117	2,16,1,6,2,6	6,8,1,6,2,3	4,7,6,5,3,5	4,5,4,4,3,4	99	96	0.895555644179	1.0	0.244,0.66,0.492,0.492,0.492,0.66	0.492,0.576,0.593,0.548,0.492,0.548	-0.035
119	"ENSMUSG00000037440"	"Vnn1"	chr10	+	23898407	23898600	23898429	23898600	23897292	23897423	119	18,30,11,17,30,42	0,1,3,1,0,0	22,40,56,56,47,58	5,4,3,9,3,4	118	96	2.9792446069e-05	0.0056853917915	1.0,0.961,0.749,0.933,1.0,1.0	0.782,0.891,0.938,0.835,0.927,0.922	0.058
120	"ENSMUSG00000053877"	"Srcap"	chr7	+	127529134	127529224	127529137	127529224	127528395	127528489	120	0,3,1,2,2,4	1,2,3,4,2,2	2,0,0,2,1,3	1,0,3,4,1,6	99	96	1	1.0	0.0,0.593,0.244,0.327,0.492,0.66	0.66,NA,0.0,0.327,0.492,0.327	0.025
122	"ENSMUSG00000036825"	"Ssx2ip"	chr3	+	146432972	146433146	146432975	146433146	146432480	146432617	122	6,3,3,1,2,4	1,0,2,0,0,4	5,0,0,11,3,5	0,0,0,3,3,5	99	96	1	1.0	0.853,1.0,0.593,1.0,1.0,0.492	1.0,NA,NA,0.78,0.492,0.492	0.132
123	"ENSMUSG00000055491"	"Pprc1"	chr19	+	46062140	46062290	46062143	46062290	46061402	46061576	123	0,0,0,0,0,0	0,1,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	99	96	1	1.0	NA,0.0,NA,NA,NA,NA	0.0,NA,NA,0.492,NA,NA	-0.246
124	"ENSMUSG00000055491"	"Pprc1"	chr19	+	46068017	46068088	46068020	46068088	46067228	46067286	124	0,2,0,1,0,0	0,0,0,0,0,1	0,0,1,0,0,0	0,1,0,1,0,2	99	96	1	1.0	NA,1.0,NA,1.0,NA,0.0	NA,0.0,1.0,0.0,NA,0.0	0.417
126	"ENSMUSG00000033060"	"Lmo7"	chr14	+	101913158	101913346	101913239	101913346	101911998	101912160	126	2,1,1,0,0,1	9,18,2,3,6,11	2,3,0,1,1,0	8,8,14,11,7,11	177	96	0.865287926143	1.0	0.108,0.029,0.213,0.0,0.0,0.047	0.119,0.169,0.0,0.047,0.072,0.0	-0.002
127	"ENSMUSG00000019854"	"Reps1"	chr10	+	18107667	18107748	18107670	18107748	18104153	18104275	127	0,4,0,0,2,2	0,1,1,0,0,0	2,0,1,0,6,2	0,1,0,0,0,0	99	96	1	1.0	NA,0.795,0.0,NA,1.0,1.0	1.0,0.0,1.0,NA,1.0,1.0	-0.101
137	"ENSMUSG00000029505"	"Ep400"	chr5	-	110668549	110668745	110668549	110668724	110670874	110671096	137	2,6,2,8,2,4	0,0,0,0,0,0	4,7,3,5,5,2	3,0,0,0,2,0	117	96	0.500821423171	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.522,1.0,1.0,1.0,0.672,1.0	0.134
140	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355309	181355552	181355327	181355552	181355008	181355125	140	2,0,1,0,0,2	0,1,0,0,0,0	0,0,1,0,0,1	0,0,0,0,0,0	114	96	1	1.0	1.0,0.0,1.0,NA,NA,1.0	NA,NA,1.0,NA,NA,1.0	-0.25
143	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181356345	181356616	181356357	181356616	181356157	181356258	143	0,1,0,0,0,1	1,0,0,1,0,1	0,0,1,1,0,0	0,0,0,0,0,0	108	96	1	1.0	0.0,1.0,NA,0.0,NA,0.471	NA,NA,1.0,1.0,NA,NA	-0.632
144	"ENSMUSG00000069520"	"Tmem19"	chr10	-	115361808	115361959	115361808	115361847	115362051	115362267	144	38,60,22,31,23,34	0,1,0,0,0,0	22,37,33,60,36,48	0,0,0,0,0,0	208	96	1	1.0	1.0,0.965,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
146	"ENSMUSG00000021816"	"Ppp3cb"	chr14	-	20509415	20509500	20509415	20509497	20515522	20515600	146	1,3,2,3,4,2	7,9,6,5,3,3	2,7,2,5,7,5	6,10,7,7,0,7	99	96	0.190729806084	1.0	0.122,0.244,0.244,0.368,0.564,0.393	0.244,0.404,0.217,0.409,1.0,0.409	-0.125
151	"ENSMUSG00000021792"	"Prxl2a"	chr14	-	41004040	41004220	41004040	41004203	41008198	41008266	151	1,4,2,3,0,4	0,0,0,0,0,1	0,2,1,0,1,3	0,0,0,0,0,0	113	96	1	1.0	1.0,1.0,1.0,1.0,NA,0.773	NA,1.0,1.0,NA,1.0,1.0	-0.045
152	"ENSMUSG00000021792"	"Prxl2a"	chr14	-	41004040	41004220	41004040	41004203	41013625	41013771	152	1,2,2,5,0,1	0,2,0,4,2,4	0,2,1,1,1,3	2,0,2,2,0,2	113	96	0.929176099989	1.0	1.0,0.459,1.0,0.515,0.0,0.175	0.0,1.0,0.298,0.298,1.0,0.56	-0.001
157	"ENSMUSG00000058291"	"Zfp68"	chr5	-	138616469	138616565	138616469	138616559	138617054	138617167	157	0,2,2,4,2,5	1,0,0,2,2,0	1,4,1,0,3,1	0,0,1,0,0,0	102	96	1	1.0	0.0,1.0,1.0,0.653,0.485,1.0	1.0,1.0,0.485,NA,1.0,1.0	-0.207
158	"ENSMUSG00000058291"	"Zfp68"	chr5	-	138616469	138616614	138616469	138616559	138617054	138617167	158	0,0,0,1,1,0	1,0,0,2,2,0	0,1,0,0,0,0	0,0,1,0,0,0	151	96	1	1.0	0.0,NA,NA,0.241,0.241,NA	NA,1.0,0.0,NA,NA,NA	-0.339
161	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831345	16831580	16831464	16831580	16831024	16831138	161	1,4,0,0,0,1	1,3,0,0,2,2	0,0,0,1,1,0	1,0,1,2,1,3	215	96	1	1.0	0.309,0.373,NA,NA,0.0,0.183	0.0,NA,0.0,0.183,0.309,0.0	0.118
162	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831345	16831580	16831485	16831580	16831024	16831138	162	2,5,0,0,0,3	3,10,1,3,3,10	0,1,0,1,1,0	2,6,2,6,1,6	236	96	0.017012396978	0.526685296965	0.213,0.169,0.0,0.0,0.0,0.109	0.0,0.063,0.0,0.063,0.289,0.0	0.013
163	"ENSMUSG00000030374"	"Strn4"	chr7	+	16831464	16831580	16831485	16831580	16831024	16831138	163	2,4,0,0,2,4	3,10,1,3,3,10	1,1,1,2,1,3	2,6,2,6,1,6	117	96	0.913742181343	1.0	0.354,0.247,0.0,0.0,0.354,0.247	0.291,0.12,0.291,0.215,0.451,0.291	-0.076
168	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148612381	148617705	148612381	148617635	148618664	148618791	168	18,25,16,9,14,15	0,0,0,0,0,0	17,20,19,20,19,19	0,0,1,1,0,0	166	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.917,0.92,1.0,1.0	0.027
169	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617737	148617565	148617635	148618664	148618791	169	21,29,19,14,19,17	0,0,0,0,0,0	18,31,26,32,17,20	0,0,1,1,0,0	198	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.927,0.939,1.0,1.0	0.022
170	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617825	148617565	148617635	148618664	148618791	170	40,53,28,31,37,40	0,0,0,0,0,0	44,59,51,62,29,44	0,0,1,1,0,0	286	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.945,0.954,1.0,1.0	0.017
171	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617737	148617565	148617705	148618664	148618791	171	4,4,4,5,7,3	1,0,1,0,2,1	7,11,7,14,4,5	6,0,0,2,6,4	128	96	0.000642355303819	0.0565766786825	0.75,1.0,0.75,1.0,0.724,0.692	0.467,1.0,1.0,0.84,0.333,0.484	0.132
172	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617825	148617565	148617705	148618664	148618791	172	23,28,13,22,25,26	1,0,1,0,2,1	33,39,32,44,16,29	6,0,0,2,6,4	216	96	1	1.0	0.911,1.0,0.852,1.0,0.847,0.92	0.71,1.0,1.0,0.907,0.542,0.763	0.101
174	"ENSMUSG00000041459"	"Tardbp"	chr4	-	148617565	148617825	148617565	148617705	148618673	148618791	174	24,28,15,21,25,26	0,3,0,2,2,1	32,41,32,45,16,27	3,0,0,2,3,4	216	96	0.438554308906	1.0	1.0,0.806,1.0,0.824,0.847,0.92	0.826,1.0,1.0,0.909,0.703,0.75	0.035
175	"ENSMUSG00000037916"	"Ndufv1"	chr19	-	4007769	4007939	4007769	4007915	4008047	4008129	175	0,0,2,0,0,0	57,118,39,62,53,82	0,1,0,0,0,0	63,77,62,124,67,122	120	96	1	1.0	0.0,0.0,0.039,0.0,0.0,0.0	0.0,0.01,0.0,0.0,0.0,0.0	0.005
176	"ENSMUSG00000037916"	"Ndufv1"	chr19	-	4009825	4010019	4009825	4010009	4011101	4011272	176	0,1,0,1,0,0	40,105,37,53,52,102	0,0,0,0,0,0	51,107,66,115,64,115	106	96	1	1.0	0.0,0.009,0.0,0.017,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.004
183	"ENSMUSG00000020721"	"Helz"	chr11	+	107627349	107627454	107627352	107627454	107626534	107626714	183	0,0,2,0,0,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,3,0,4	99	96	1	1.0	NA,NA,1.0,NA,NA,1.0	NA,NA,NA,0.0,NA,0.0	1.0
