ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
32	"ENSMUSG00000043760"	"Pkhd1"	chr1	-	20502941	20503092	20508892	20509112	20450220	20450377	20520153	20520297	32	17,28,12,16,19,16	17,14,4,3,10,12	13,17,20,39,20,18	4,5,13,17,9,8	316	247	0.487254836894	1.0	0.439,0.61,0.701,0.807,0.598,0.51	0.718,0.727,0.546,0.642,0.635,0.638	-0.04
33	"ENSMUSG00000001285"	"Myg1"	chr15	+	102336831	102336984	102337100	102337223	102334201	102334361	102337328	102337510	33	8,20,9,12,9,14	8,22,4,1,9,8	6,11,2,12,10,11	8,10,8,14,7,15	249	219	0.0651482065734	0.483899860414	0.468,0.444,0.664,0.913,0.468,0.606	0.397,0.492,0.18,0.43,0.557,0.392	0.186
35	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355008	181355125	181355309	181355552	181354352	181354442	181355650	181355812	35	1,1,0,0,1,0	2,7,3,2,5,10	0,1,1,2,0,0	1,1,3,6,3,3	213	339	1	1.0	0.443,0.185,0.0,0.0,0.241,0.0	0.0,0.614,0.347,0.347,0.0,0.0	-0.073
36	"ENSMUSG00000038685"	"Rtel1"	chr2	+	181355008	181355125	181355327	181355552	181354352	181354442	181355650	181355812	36	1,1,0,0,1,0	2,7,3,2,5,9	0,1,1,2,0,0	1,1,2,6,3,3	213	321	1	1.0	0.43,0.177,0.0,0.0,0.232,0.0	0.0,0.601,0.43,0.334,0.0,0.0	-0.088
37	"ENSMUSG00000027522"	"Stx16"	chr2	+	174091481	174091622	174092401	174092567	174090620	174090728	174093433	174093525	37	12,16,6,18,8,14	8,14,6,5,8,10	7,11,10,15,18,22	9,16,17,22,9,19	237	262	0.0864561866288	0.557430797705	0.624,0.558,0.525,0.799,0.525,0.607	0.462,0.432,0.394,0.43,0.689,0.561	0.112
38	"ENSMUSG00000027474"	"Ccm2l"	chr2	+	153074771	153074907	153076400	153076464	153071757	153072212	153078481	153078611	38	0,1,1,0,0,1	2,3,0,0,0,1	1,0,0,0,1,1	1,1,0,3,0,2	232	160	1	1.0	0.0,0.187,1.0,NA,NA,0.408	0.408,0.0,NA,0.0,1.0,0.256	0.066
39	"ENSMUSG00000020839"	"Tmigd1"	chr11	+	76906912	76907191	76910046	76910325	76904542	76904646	76913973	76914077	39	66,87,19,40,38,56	60,70,22,42,50,54	181,235,259,347,217,293	262,361,268,371,285,356	375	375	0.0372282434579	0.41551805574	0.524,0.554,0.463,0.488,0.432,0.509	0.409,0.394,0.491,0.483,0.432,0.451	0.052
40	"ENSMUSG00000020839"	"Tmigd1"	chr11	+	76907114	76907191	76910046	76910325	76904561	76904646	76913973	76914077	40	0,0,0,0,0,0	60,70,22,42,50,54	0,1,2,1,0,0	262,361,268,371,285,356	173	375	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.006,0.016,0.006,0.0,0.0	-0.005
41	"ENSMUSG00000035310"	"Lin54"	chr5	-	100459585	100459802	100475688	100475831	100454434	100454508	100485139	100485855	41	1,0,0,0,2,1	1,5,3,2,4,1	0,0,1,0,0,3	1,6,2,4,3,10	239	313	1	1.0	0.567,0.0,0.0,0.0,0.396,0.567	0.0,0.0,0.396,0.0,0.0,0.282	0.142
42	"ENSMUSG00000034973"	"Dop1a"	chr9	+	86522762	86522874	86522953	86523136	86519872	86521859	86524223	86524349	42	1,2,0,2,2,3	2,5,3,4,2,1	4,1,0,0,1,3	3,5,1,4,2,3	208	279	0.484207455337	1.0	0.401,0.349,0.0,0.401,0.573,0.801	0.641,0.212,0.0,0.0,0.401,0.573	0.116
43	"ENSMUSG00000022960"	"Donson"	chr16	-	91683632	91683811	91684301	91684480	91682742	91682821	91686166	91686370	43	0,1,0,0,0,0	3,2,0,1,0,0	0,0,0,2,2,0	0,2,1,1,2,1	275	275	1	1.0	0.0,0.333,NA,0.0,NA,NA	NA,0.0,0.0,0.667,0.5,0.0	-0.122
44	"ENSMUSG00000037669"	"Ldah"	chr12	+	8227219	8227363	8238442	8238615	8220599	8220755	8268363	8268598	44	3,12,1,8,3,7	3,18,7,8,7,10	3,1,6,9,4,4	12,11,14,12,12,12	240	269	0.132108644486	0.692069148955	0.528,0.428,0.138,0.528,0.324,0.44	0.219,0.092,0.324,0.457,0.272,0.272	0.125
45	"ENSMUSG00000028416"	"Bag1"	chr4	-	40939076	40939184	40941524	40941638	40937131	40937194	40943624	40943707	45	65,96,48,68,52,71	72,104,55,79,46,63	49,83,65,89,68,91	71,73,65,88,60,127	210	204	0.791913232622	1.0	0.467,0.473,0.459,0.455,0.523,0.523	0.401,0.525,0.493,0.496,0.524,0.41	0.009
46	"ENSMUSG00000033533"	"Acsm1"	chr7	+	119654331	119654455	119655415	119655496	119652553	119652633	119655981	119656083	46	30,59,14,17,21,33	37,47,22,21,30,32	47,80,23,35,72,88	42,78,23,39,61,94	220	177	0.369858121985	1.0	0.395,0.502,0.339,0.394,0.36,0.453	0.474,0.452,0.446,0.419,0.487,0.43	-0.044
47	"ENSMUSG00000039530"	"Tusc3"	chr8	+	39071375	39071516	39096924	39097014	39067621	39067762	39126528	39126592	47	27,40,11,18,14,31	13,20,7,15,12,19	18,31,25,35,26,36	5,17,9,14,7,19	237	186	0.059607548327	0.465747114894	0.62,0.611,0.552,0.485,0.478,0.561	0.739,0.589,0.686,0.662,0.745,0.598	-0.119
48	"ENSMUSG00000079557"	"March2"	chr17	-	33703012	33703208	33709744	33709972	33694216	33696246	33718545	33718657	48	14,27,10,19,17,20	23,31,19,31,27,26	16,23,21,26,25,35	25,43,35,41,37,45	324	292	0.807326679379	1.0	0.354,0.44,0.322,0.356,0.362,0.409	0.366,0.325,0.351,0.364,0.378,0.412	0.008
52	"ENSMUSG00000091512"	"Lamtor3"	chr3	+	137925111	137925170	137926808	137926942	137919920	137919955	137927346	137927410	52	5,6,2,1,5,6	13,13,1,4,8,3	0,2,6,0,9,6	11,8,10,16,8,13	155	230	0.0860041496674	0.557430797705	0.363,0.406,0.748,0.271,0.481,0.748	0.0,0.271,0.471,0.0,0.625,0.406	0.207
54	"ENSMUSG00000026553"	"Copa"	chr1	+	172087551	172087665	172089096	172089170	172082528	172082949	172090938	172091019	54	16,24,14,6,9,13	22,24,9,14,11,7	18,19,11,25,17,21	12,18,11,21,12,12	210	170	0.224835578525	0.882120865532	0.371,0.447,0.557,0.258,0.398,0.601	0.548,0.461,0.447,0.491,0.534,0.586	-0.072
55	"ENSMUSG00000038206"	"Fbxo8"	chr8	+	56569283	56569410	56588006	56588125	56564557	56564894	56590057	56590254	55	18,29,8,14,9,18	14,19,10,13,11,12	21,26,30,29,23,26	22,28,25,26,20,29	223	215	0.468136628098	1.0	0.553,0.595,0.435,0.509,0.441,0.591	0.479,0.472,0.536,0.518,0.526,0.464	0.022
56	"ENSMUSG00000038206"	"Fbxo8"	chr8	+	56588006	56588125	56590057	56590254	56569283	56569410	56591435	56593939	56	14,29,12,10,13,23	20,30,21,25,27,34	8,20,18,14,23,28	29,44,35,45,35,52	215	293	0.124716046044	0.664671644234	0.488,0.568,0.438,0.353,0.396,0.48	0.273,0.383,0.412,0.298,0.472,0.423	0.077
58	"ENSMUSG00000024921"	"Smarca2"	chr19	+	26759877	26759931	26770937	26771043	26751823	26752041	26771507	26771609	58	7,1,3,3,0,4	14,19,7,15,16,26	6,4,2,11,9,9	22,41,27,25,17,45	150	202	0.306530783297	1.0	0.402,0.066,0.366,0.212,0.0,0.172	0.269,0.116,0.091,0.372,0.416,0.212	-0.043
59	"ENSMUSG00000089837"	"Npcd"	chr15	-	79828687	79828978	79833511	79833578	79794255	79794475	79833701	79833767	59	2,11,2,3,6,9	4,6,2,5,1,5	2,3,1,4,1,7	1,2,5,5,3,6	163	387	0.314241218713	1.0	0.543,0.813,0.704,0.588,0.934,0.81	0.826,0.781,0.322,0.655,0.442,0.735	0.105
60	"ENSMUSG00000029767"	"Calu"	chr6	+	29361293	29361487	29361559	29361753	29356470	29356697	29366039	29366206	60	23,38,13,24,11,19	17,25,12,8,18,19	17,16,18,23,11,29	9,19,16,28,22,20	290	290	0.373367703988	1.0	0.575,0.603,0.52,0.75,0.379,0.5	0.654,0.457,0.529,0.451,0.333,0.592	0.052
61	"ENSMUSG00000030168"	"Adipor2"	chr6	-	119358921	119359109	119359350	119359537	119357215	119357409	119361827	119361999	61	18,27,16,14,20,25	28,29,7,21,10,30	21,29,23,35,19,32	23,26,24,37,23,24	283	284	0.973776077599	1.0	0.392,0.483,0.696,0.401,0.667,0.455	0.478,0.528,0.49,0.487,0.453,0.572	0.014
63	"ENSMUSG00000028692"	"Akr1a1"	chr4	-	116641857	116641977	116645503	116645593	116640990	116641142	116651338	116651396	63	229,389,194,319,242,405	244,362,215,262,288,372	266,454,356,531,375,600	323,465,464,660,474,650	186	216	0.0148525831195	0.232103078579	0.522,0.555,0.512,0.586,0.494,0.558	0.489,0.531,0.471,0.483,0.479,0.517	0.043
64	"ENSMUSG00000019916"	"P4ha1"	chr10	+	59354339	59354410	59355349	59355420	59352082	59352259	59361860	59361960	64	8,5,2,4,2,2	9,15,4,0,5,8	6,8,3,4,5,6	15,27,21,17,13,10	167	167	0.198581941925	0.84765069655	0.471,0.25,0.333,1.0,0.286,0.2	0.286,0.229,0.125,0.19,0.278,0.375	0.176
68	"ENSMUSG00000063889"	"Crem"	chr18	-	3276693	3276729	3287903	3288092	3273421	3273578	3295039	3295182	68	1,0,0,0,0,0	0,1,0,1,0,0	0,1,1,1,0,0	0,1,0,1,1,0	285	132	1	1.0	1.0,0.0,NA,0.0,NA,NA	NA,0.317,1.0,0.317,0.0,NA	-0.075
69	"ENSMUSG00000063889"	"Crem"	chr18	-	3299161	3299308	3309645	3309755	3295321	3295416	3325360	3325478	69	0,0,0,1,0,0	1,0,0,0,0,0	0,1,0,0,0,0	0,1,0,1,0,0	206	243	1	1.0	0.0,NA,NA,1.0,NA,NA	NA,0.541,NA,0.0,NA,NA	0.229
70	"ENSMUSG00000026240"	"Cops7b"	chr1	+	86592290	86592366	86596750	86596839	86589163	86589341	86599002	86599205	70	2,4,0,3,0,2	2,0,0,1,4,3	2,2,1,4,2,3	3,5,5,7,2,0	172	185	1	1.0	0.518,1.0,NA,0.763,0.0,0.418	0.418,0.301,0.177,0.381,0.518,1.0	0.074
72	"ENSMUSG00000061981"	"Flot2"	chr11	+	78053362	78053453	78054784	78054875	78049477	78049559	78055756	78055880	72	3,2,1,1,2,2	3,9,7,2,8,10	3,2,1,3,0,0	6,9,2,11,8,7	187	187	0.385042242989	1.0	0.5,0.182,0.125,0.333,0.2,0.167	0.333,0.182,0.333,0.214,0.0,0.0	0.074
73	"ENSMUSG00000034544"	"Rsrc1"	chr3	+	66996464	66996590	67082535	67082709	66994516	66994712	67180828	67180865	73	0,4,0,0,1,5	4,7,3,5,3,2	3,2,0,2,5,4	3,3,3,6,4,11	222	270	0.147544021336	0.747448283911	0.0,0.41,0.0,0.0,0.288,0.753	0.549,0.448,0.0,0.288,0.603,0.307	-0.124
74	"ENSMUSG00000034544"	"Rsrc1"	chr3	+	67082535	67082709	67180828	67180865	66996464	66996590	67206425	67206477	74	4,4,3,7,2,2	1,1,0,1,0,0	2,7,1,7,5,7	0,1,2,2,0,2	270	133	0.112055494694	0.639673946563	0.663,0.663,1.0,0.775,1.0,1.0	1.0,0.775,0.198,0.633,1.0,0.633	0.144
76	"ENSMUSG00000040387"	"Klhl32"	chr4	-	24632642	24632701	24682054	24682270	24629159	24629352	24708952	24709051	76	0,0,0,3,0,0	0,0,0,0,0,0	0,0,1,1,2,1	0,1,0,0,0,0	312	155	1	1.0	NA,NA,NA,1.0,NA,NA	NA,0.0,1.0,1.0,1.0,1.0	0.2
77	"ENSMUSG00000040387"	"Klhl32"	chr4	-	24682054	24682270	24708952	24709051	24632642	24632701	24743857	24743965	77	0,1,0,0,0,0	0,0,0,2,0,0	0,1,0,1,0,0	0,0,1,1,2,1	195	312	1	1.0	NA,1.0,NA,0.0,NA,NA	NA,1.0,0.0,0.615,0.0,0.0	0.177
78	"ENSMUSG00000030007"	"Cct7"	chr6	+	85459941	85460048	85461086	85461170	85459114	85459268	85461507	85461560	78	26,30,15,16,9,19	19,15,4,16,12,23	20,25,25,33,29,29	12,23,26,32,19,25	203	180	0.683125145599	1.0	0.548,0.639,0.769,0.47,0.399,0.423	0.596,0.491,0.46,0.478,0.575,0.507	0.024
79	"ENSMUSG00000047502"	"Mroh7"	chr4	-	106700126	106700265	106702482	106702637	106699721	106699912	106703014	106703191	79	0,0,0,0,0,1	1,2,0,1,1,0	1,1,0,0,1,2	0,0,0,2,2,0	251	235	1	1.0	0.0,0.0,NA,0.0,0.0,1.0	1.0,1.0,NA,0.0,0.319,1.0	-0.464
80	"ENSMUSG00000041921"	"Metap1d"	chr2	+	71515636	71515800	71522532	71522630	71512125	71512168	71523801	71523849	80	1,0,1,1,1,3	1,2,0,0,0,0	0,3,0,4,3,5	0,1,3,1,4,4	260	194	1	1.0	0.427,0.0,1.0,1.0,1.0,1.0	NA,0.691,0.0,0.749,0.359,0.483	0.281
83	"ENSMUSG00000033257"	"Ttll4"	chr1	+	74687203	74687395	74687477	74687560	74686316	74686393	74687722	74687851	83	1,6,0,2,3,0	0,3,3,0,2,0	2,1,3,3,2,4	0,5,1,6,5,6	288	179	1	1.0	1.0,0.554,0.0,1.0,0.482,NA	1.0,0.111,0.651,0.237,0.199,0.293	0.192
84	"ENSMUSG00000054385"	"Ceacam2"	chr7	-	25527740	25528016	25538573	25538933	25520813	25520931	25539700	25539819	84	93,115,59,80,39,68	60,92,54,63,31,48	10,17,20,18,10,14	7,19,20,25,10,16	456	372	0.0502511293525	0.435148733249	0.558,0.505,0.471,0.509,0.506,0.536	0.538,0.422,0.449,0.37,0.449,0.417	0.073
85	"ENSMUSG00000045983"	"Eif4g1"	chr16	+	20673598	20673655	20673867	20673961	20672748	20672876	20674227	20674314	85	5,8,1,1,3,3	9,13,0,7,11,14	1,0,1,0,2,4	10,22,14,26,14,24	153	190	0.000432325383148	0.0173306088375	0.408,0.433,1.0,0.151,0.253,0.21	0.11,0.0,0.081,0.0,0.151,0.171	0.324
86	"ENSMUSG00000020366"	"Mapk9"	chr11	+	49873835	49873907	49874263	49874335	49872733	49872899	49878230	49878413	86	1,0,0,1,1,1	19,12,5,15,10,11	0,1,0,1,2,0	9,9,9,13,7,21	168	168	1	1.0	0.05,0.0,0.0,0.063,0.091,0.083	0.0,0.1,0.0,0.071,0.222,0.0	-0.018
87	"ENSMUSG00000003992"	"Ssbp2"	chr13	+	91564609	91564694	91642301	91642391	91539334	91539396	91664117	91664177	87	5,5,0,1,4,1	1,1,1,2,0,1	0,3,3,5,3,6	3,2,4,3,0,1	181	186	0.0808856773873	0.532689961079	0.837,0.837,0.0,0.339,1.0,0.507	0.0,0.607,0.435,0.631,1.0,0.86	-0.002
88	"ENSMUSG00000026222"	"Sp100"	chr1	+	85681085	85681139	85691974	85692049	85679058	85679109	85694258	85694309	88	0,2,0,1,0,1	3,3,3,4,1,1	1,0,0,2,0,0	1,0,2,0,2,2	150	171	1	1.0	0.0,0.432,0.0,0.222,0.0,0.533	0.533,NA,0.0,1.0,0.0,0.0	-0.109
89	"ENSMUSG00000000296"	"Tpd52l1"	chr10	-	31338184	31338245	31341139	31341178	31332626	31332969	31346610	31346712	89	1,0,0,0,0,0	0,1,0,4,0,0	1,0,0,0,0,0	1,0,0,1,0,0	135	157	1	1.0	1.0,0.0,NA,0.0,NA,NA	0.538,NA,NA,0.0,NA,NA	0.064
90	"ENSMUSG00000005610"	"Eif4g2"	chr7	-	111076279	111076393	111076695	111076856	111075586	111075712	111076937	111077076	90	169,263,111,164,193,228	92,160,62,77,83,127	209,287,252,376,217,345	115,164,133,175,101,144	257	210	0.466268617795	1.0	0.6,0.573,0.594,0.635,0.655,0.595	0.598,0.588,0.608,0.637,0.637,0.662	-0.013
91	"ENSMUSG00000061887"	"Ssbp3"	chr4	+	107027216	107027297	107028192	107028252	107009678	107009768	107030861	107030928	91	0,0,0,2,0,0	9,19,7,12,10,14	2,1,1,2,0,0	7,4,9,26,17,21	177	156	0.80291911702	1.0	0.0,0.0,0.0,0.128,0.0,0.0	0.201,0.181,0.089,0.063,0.0,0.0	-0.068
92	"ENSMUSG00000051669"	"AU021092"	chr16	-	5214602	5214707	5215976	5216112	5212591	5212672	5216741	5216859	92	7,9,10,7,5,6	3,4,2,1,4,3	4,7,3,5,6,3	4,3,0,1,4,3	232	201	0.668316147815	1.0	0.669,0.661,0.812,0.858,0.52,0.634	0.464,0.669,1.0,0.812,0.565,0.464	0.03
93	"ENSMUSG00000017723"	"Wfdc2"	chr2	+	164563307	164563451	164564056	164564212	164562578	164562804	164565791	164565938	93	98,191,44,85,59,94	108,144,35,61,51,68	32,33,46,52,38,31	21,35,32,41,26,36	240	252	0.997951506103	1.0	0.488,0.582,0.569,0.594,0.548,0.592	0.615,0.497,0.601,0.571,0.605,0.475	0.001
94	"ENSMUSG00000040434"	"Large2"	chr2	-	92367753	92367866	92369267	92369372	92367538	92367664	92369489	92369661	94	4,4,1,3,3,5	5,7,2,1,6,6	0,0,2,0,0,2	1,1,0,1,6,2	201	209	0.000177025060263	0.00945226410122	0.454,0.373,0.342,0.757,0.342,0.464	0.0,0.0,1.0,0.0,0.0,0.51	0.204
95	"ENSMUSG00000026189"	"Pecr"	chr1	-	72261951	72262063	72267406	72267517	72259166	72259433	72270276	72270373	95	52,71,29,34,51,55	42,49,18,37,26,57	96,143,111,139,156,195	80,148,82,124,100,132	207	208	0.868637644241	1.0	0.554,0.593,0.618,0.48,0.663,0.492	0.547,0.493,0.576,0.53,0.611,0.597	0.008
99	"ENSMUSG00000025871"	"4833439L19Rik"	chr13	-	54559197	54559324	54561692	54561871	54556367	54556651	54564514	54564621	99	79,120,53,82,68,93	177,230,93,170,113,179	132,144,140,162,125,200	166,295,223,336,208,349	275	223	0.204919303016	0.851897314677	0.266,0.297,0.316,0.281,0.328,0.296	0.392,0.284,0.337,0.281,0.328,0.317	-0.026
100	"ENSMUSG00000025871"	"4833439L19Rik"	chr13	-	54559197	54559324	54561692	54561871	54556526	54556651	54564184	54564272	100	131,245,86,135,127,171	177,230,93,170,114,179	208,275,237,300,196,326	165,295,223,334,208,348	275	223	0.420882326509	1.0	0.375,0.463,0.429,0.392,0.475,0.437	0.505,0.431,0.463,0.421,0.433,0.432	-0.019
101	"ENSMUSG00000025871"	"4833439L19Rik"	chr13	-	54559197	54559324	54564184	54564272	54556526	54556651	54564514	54564621	101	112,160,51,107,81,131	177,230,93,170,113,179	117,166,129,187,107,162	166,295,223,336,208,349	184	223	0.0428078986079	0.427076614267	0.434,0.457,0.399,0.433,0.465,0.47	0.461,0.405,0.412,0.403,0.384,0.36	0.039
102	"ENSMUSG00000025871"	"4833439L19Rik"	chr13	-	54561692	54561871	54564184	54564272	54556526	54556651	54564514	54564621	102	112,160,51,107,81,131	79,120,53,82,68,93	117,166,129,187,107,162	132,144,140,162,125,200	184	275	0.00218934917223	0.0576737124799	0.679,0.666,0.59,0.661,0.64,0.678	0.57,0.633,0.579,0.633,0.561,0.548	0.065
