ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
24	"ENSMUSG00000020486"	"Sept4"	chr11	+	87588717	87589085	87588717	87588852	87588967	87589085	24	0,2,0,2,1,0	12,10,7,8,6,5	1,2,0,1,1,1	1,5,1,1,3,2	211	96	1	1.0	0.0,0.083,0.0,0.102,0.07,0.0	0.313,0.154,0.0,0.313,0.132,0.185	-0.14
25	"ENSMUSG00000020486"	"Sept4"	chr11	+	87589655	87590055	87589655	87589818	87589955	87590055	25	2,8,3,4,1,3	9,24,0,11,6,4	1,6,0,3,1,3	0,3,0,3,3,2	233	96	1	1.0	0.084,0.121,1.0,0.13,0.064,0.236	1.0,0.452,NA,0.292,0.121,0.382	-0.177
26	"ENSMUSG00000020486"	"Sept4"	chr11	+	87589655	87590055	87589655	87589818	87590008	87590055	26	11,13,7,9,3,5	2,2,1,1,0,0	4,9,2,7,6,9	1,0,0,0,0,1	286	96	0.556536778023	1.0	0.649,0.686,0.701,0.751,1.0,1.0	0.573,1.0,1.0,1.0,1.0,0.751	-0.09
27	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89363604	89363834	89363604	89363689	89363765	89363834	27	1,2,0,1,0,1	10,14,11,15,5,16	0,2,0,1,0,1	13,18,13,17,14,21	172	96	1	1.0	0.053,0.074,0.0,0.036,0.0,0.034	0.0,0.058,0.0,0.032,0.0,0.026	0.014
28	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370600	89370675	28	0,2,1,0,0,1	0,3,0,1,2,3	0,0,0,0,0,0	1,0,1,0,2,3	208	96	1	1.0	NA,0.235,1.0,0.0,0.0,0.133	0.0,NA,0.0,NA,0.0,0.0	0.274
29	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370394	89370675	89370394	89370488	89370603	89370675	29	0,3,1,0,0,1	5,20,7,7,3,4	1,0,0,0,1,0	5,5,7,13,7,8	211	96	1	1.0	0.0,0.064,0.061,0.0,0.0,0.102	0.083,0.0,0.0,0.0,0.061,0.0	0.014
30	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89370752	89370993	89370752	89370808	89370891	89370993	30	0,1,0,0,1,2	11,15,8,8,10,4	0,0,0,0,0,0	3,16,8,14,5,9	179	96	1	1.0	0.0,0.035,0.0,0.0,0.051,0.211	0.0,0.0,0.0,0.0,0.0,0.0	0.049
32	"ENSMUSG00000062006"	"Rpl34"	chr3	-	130729050	130729302	130729050	130729150	130729228	130729302	32	1,0,0,1,0,1	83,149,51,94,46,72	0,0,1,1,0,1	33,77,65,77,28,44	174	96	1	1.0	0.007,0.0,0.0,0.006,0.0,0.008	0.0,0.0,0.008,0.007,0.0,0.012	-0.001
36	"ENSMUSG00000075232"	"Amd1"	chr10	-	40290117	40290615	40290117	40290273	40290377	40290615	36	0,0,0,0,0,0	7,10,3,12,9,7	0,1,0,0,1,2	6,15,5,18,13,6	200	96	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.031,0.0,0.0,0.036,0.138	-0.034
37	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35670656	35670962	35670656	35670745	35670865	35670962	37	0,1,0,0,0,0	0,0,0,0,0,2	0,0,0,0,0,1	0,1,0,2,0,2	216	96	1	1.0	NA,1.0,NA,NA,NA,0.0	NA,0.0,NA,0.0,NA,0.182	0.439
39	"ENSMUSG00000027610"	"Gss"	chr2	-	155566802	155567887	155566802	155566884	155567692	155567887	39	1,4,3,5,3,4	19,27,16,16,20,22	5,8,3,12,4,4	32,47,34,82,34,47	904	96	0.780431802421	1.0	0.006,0.015,0.02,0.032,0.016,0.019	0.016,0.018,0.009,0.015,0.012,0.009	0.005
41	"ENSMUSG00000027610"	"Gss"	chr2	-	155578288	155578787	155578288	155578428	155578711	155578787	41	0,6,2,1,0,0	32,48,27,25,8,27	3,4,3,5,1,3	50,92,80,104,48,72	379	96	1	1.0	0.0,0.031,0.018,0.01,0.0,0.0	0.015,0.011,0.009,0.012,0.005,0.01	-0.0
42	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108587	23108851	23108587	23108633	23108718	23108851	42	0,2,1,1,0,0	64,51,26,41,36,20	1,0,2,3,1,3	23,20,35,32,28,28	181	96	0.656665646621	1.0	0.0,0.02,0.02,0.013,0.0,0.0	0.023,0.0,0.029,0.047,0.019,0.054	-0.02
43	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23109984	23110343	23109984	23110153	23110233	23110343	43	1,3,3,4,6,0	58,108,45,80,67,86	4,4,2,3,1,2	75,88,71,101,57,78	176	96	0.743545666519	1.0	0.009,0.015,0.035,0.027,0.047,0.0	0.028,0.024,0.015,0.016,0.009,0.014	0.005
44	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263	44	9,11,7,6,3,7	60,81,25,44,42,47	5,4,4,8,2,8	45,61,54,58,36,64	498	96	0.103039669913	1.0	0.028,0.026,0.051,0.026,0.014,0.028	0.021,0.012,0.014,0.026,0.011,0.024	0.011
45	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111592	23111125	23111263	23111502	23111592	45	3,6,3,2,4,4	57,74,27,42,47,51	8,2,4,5,10,2	52,43,55,56,39,49	335	96	0.181568372577	1.0	0.015,0.023,0.031,0.013,0.024,0.022	0.042,0.013,0.02,0.025,0.068,0.012	-0.009
46	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44173337	44174031	44173337	44173579	44173911	44174031	46	2,4,1,3,0,0	3,4,0,7,2,1	3,3,2,2,0,4	1,3,1,3,4,4	428	96	0.18985846922	1.0	0.13,0.183,1.0,0.088,0.0,0.0	0.402,0.183,0.31,0.13,0.0,0.183	0.032
49	"ENSMUSG00000054065"	"Pkp3"	chr7	+	141088283	141088651	141088283	141088401	141088480	141088651	49	1,1,0,0,1,1	2,5,2,2,2,0	1,0,1,2,2,1	2,4,4,8,6,7	175	96	0.739524041231	1.0	0.215,0.099,0.0,0.0,0.215,1.0	0.215,0.0,0.121,0.121,0.155,0.073	0.141
50	"ENSMUSG00000042328"	"Hps4"	chr5	+	112369454	112370744	112369454	112369551	112369945	112370744	50	3,8,0,3,6,6	3,6,1,2,1,6	2,2,2,2,2,5	2,1,3,6,0,3	490	96	0.472268497655	1.0	0.164,0.207,0.0,0.227,0.54,0.164	0.164,0.282,0.116,0.061,1.0,0.246	-0.095
51	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107751718	107751953	107751718	107751791	107751875	107751953	51	0,0,0,1,0,0	11,14,0,11,14,3	1,0,0,0,1,0	0,8,10,9,12,15	180	96	1	1.0	0.0,0.0,NA,0.046,0.0,0.0	1.0,0.0,0.0,0.0,0.043,0.0	-0.165
52	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107756908	107760391	107756908	107756992	107760321	107760391	52	88,102,82,98,57,83	0,0,1,2,0,0	48,74,50,64,68,90	0,0,0,0,0,0	3425	96	1	1.0	1.0,1.0,0.697,0.579,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.121
53	"ENSMUSG00000011877"	"Git1"	chr11	+	77503355	77504018	77503355	77503428	77503920	77504018	53	0,0,1,0,0,2	10,16,6,8,1,7	1,3,1,1,0,1	4,5,6,10,10,7	588	96	1	1.0	0.0,0.0,0.026,0.0,0.0,0.045	0.039,0.089,0.026,0.016,0.0,0.023	-0.02
54	"ENSMUSG00000011877"	"Git1"	chr11	+	77505503	77505753	77505503	77505590	77505679	77505753	54	0,0,0,0,0,0	4,13,6,11,5,7	1,0,0,0,0,0	7,7,10,11,11,15	185	96	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0	0.069,0.0,0.0,0.0,0.0,0.0	-0.012
55	"ENSMUSG00000079197"	"Psme2"	chr14	-	55587653	55588094	55587653	55587740	55588039	55588094	55	0,3,1,1,0,1	9,9,4,2,11,9	0,1,1,1,0,0	4,13,10,11,12,8	395	96	1	1.0	0.0,0.075,0.057,0.108,0.0,0.026	0.0,0.018,0.024,0.022,0.0,0.0	0.034
56	"ENSMUSG00000079197"	"Psme2"	chr14	-	55589480	55589705	55589480	55589511	55589618	55589705	56	1,0,0,0,0,0	0,21,0,9,7,12	0,0,1,1,1,0	8,11,16,16,2,15	203	96	1	1.0	1.0,0.0,NA,0.0,0.0,0.0	0.0,0.0,0.029,0.029,0.191,0.0	0.159
58	"ENSMUSG00000053907"	"Mat2a"	chr6	-	72436994	72437448	72436994	72437117	72437370	72437448	58	0,0,0,0,0,0	0,0,0,10,0,16	0,0,0,0,0,1	18,1,24,0,0,30	349	96	1	1.0	NA,NA,NA,0.0,NA,0.0	0.0,0.0,0.0,NA,NA,0.009	-0.002
59	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26372730	26373080	26372730	26372825	26372973	26373080	59	1,0,1,1,0,0	0,6,3,0,1,2	0,0,0,0,0,0	1,0,1,2,2,0	244	96	1	1.0	1.0,0.0,0.116,1.0,0.0,0.0	0.0,NA,0.0,0.0,0.0,NA	0.353
60	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26373318	26374185	26373318	26373466	26374020	26374185	60	3,3,2,5,1,2	0,0,1,0,0,0	2,1,3,3,3,4	2,0,0,0,0,0	650	96	1	1.0	1.0,1.0,0.228,1.0,1.0,1.0	0.129,1.0,1.0,1.0,1.0,1.0	0.017
64	"ENSMUSG00000042487"	"Leo1"	chr9	+	75455640	75457193	75455640	75455775	75457057	75457193	64	1,2,0,0,0,1	4,2,2,1,1,6	0,0,1,1,1,1	2,3,2,2,1,4	1378	96	1	1.0	0.017,0.065,0.0,0.0,0.0,0.011	0.0,0.0,0.034,0.034,0.065,0.017	-0.01
65	"ENSMUSG00000078762"	"Haus5"	chr7	-	30659062	30659413	30659062	30659126	30659288	30659413	65	0,1,0,0,0,1	0,2,0,0,0,0	0,0,0,0,0,1	0,0,0,0,0,2	258	96	1	1.0	NA,0.157,NA,NA,NA,1.0	NA,NA,NA,NA,NA,0.157	0.421
66	"ENSMUSG00000031505"	"Naxd"	chr8	+	11509321	11509557	11509321	11509372	11509452	11509557	66	1,1,1,0,1,0	15,15,9,7,8,14	0,1,1,7,1,0	7,12,21,15,14,20	176	96	1	1.0	0.035,0.035,0.057,0.0,0.064,0.0	0.0,0.043,0.025,0.203,0.037,0.0	-0.02
68	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25464848	25466437	25464848	25464880	25466316	25466437	68	8,10,9,4,6,10	3,5,4,4,3,2	1,4,3,4,0,6	0,1,2,2,3,0	1532	96	0.365561391082	1.0	0.143,0.111,0.124,0.059,0.111,0.239	1.0,0.2,0.086,0.111,0.0,1.0	-0.268
70	"ENSMUSG00000053553"	"3110082I17Rik"	chr5	-	139359738	139361388	139359738	139360730	139361306	139361388	70	1,0,0,0,0,0	0,4,2,0,0,0	0,0,0,0,0,0	0,0,0,1,2,1	672	96	1	1.0	1.0,0.0,0.0,NA,NA,NA	NA,NA,NA,0.0,0.0,0.0	0.333
71	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109519584	109519993	109519584	109519648	109519917	109519993	71	0,1,0,2,2,0	146,231,88,116,71,139	0,1,0,1,1,2	92,135,101,132,114,124	365	96	1	1.0	0.0,0.001,0.0,0.005,0.007,0.0	0.0,0.002,0.0,0.002,0.002,0.004	0.001
72	"ENSMUSG00000032553"	"Srprb"	chr9	-	103197537	103198866	103197537	103197620	103198788	103198866	72	3,6,3,2,1,1	9,16,7,9,9,9	1,3,2,2,4,1	9,11,15,15,5,10	1264	96	0.794128643488	1.0	0.025,0.028,0.032,0.017,0.008,0.008	0.008,0.02,0.01,0.01,0.057,0.008	0.001
75	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89301842	89302377	89301842	89301970	89302181	89302377	75	2,1,5,1,2,3	3,17,5,3,3,5	0,0,3,1,2,2	3,7,6,9,7,11	307	96	0.0482511389519	0.759936189277	0.173,0.018,0.238,0.094,0.173,0.158	0.0,0.0,0.135,0.034,0.082,0.054	0.091
76	"ENSMUSG00000014856"	"Tmem208"	chr8	+	105328321	105328692	105328321	105328458	105328607	105328692	76	6,3,1,3,4,5	12,16,6,12,7,13	2,7,3,2,4,7	9,19,19,33,15,24	245	96	0.287135335972	1.0	0.164,0.068,0.061,0.089,0.183,0.131	0.08,0.126,0.058,0.023,0.095,0.103	0.035
77	"ENSMUSG00000014856"	"Tmem208"	chr8	+	105328321	105328692	105328321	105328484	105328607	105328692	77	3,3,1,3,2,3	1,0,0,1,0,0	2,6,2,2,3,6	0,2,1,0,1,0	219	96	1	1.0	0.568,1.0,1.0,0.568,1.0,1.0	1.0,0.568,0.467,1.0,0.568,1.0	0.089
81	"ENSMUSG00000040054"	"Baz2a"	chr10	+	128115024	128116169	128115024	128115085	128116060	128116169	81	3,8,4,8,1,7	4,2,1,1,2,2	5,2,2,7,2,7	0,3,2,5,5,7	1071	96	0.232763374041	1.0	0.063,0.264,0.264,0.418,0.043,0.239	1.0,0.056,0.082,0.111,0.035,0.082	-0.013
84	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32515283	32517139	32515283	32515352	32517028	32517139	84	8,11,6,4,2,4	3,1,0,1,1,0	4,5,5,6,6,7	1,3,2,3,3,8	1772	96	0.212277932537	1.0	0.126,0.373,1.0,0.178,0.098,1.0	0.178,0.083,0.119,0.098,0.098,0.045	0.359
85	"ENSMUSG00000003226"	"Ranbp2"	chr10	+	58455218	58455954	58455218	58455449	58455808	58455954	85	0,1,0,0,0,0	3,4,0,4,0,5	1,0,0,0,0,0	0,5,5,3,2,8	455	96	1	1.0	0.0,0.05,NA,0.0,NA,0.0	1.0,0.0,0.0,0.0,0.0,0.0	-0.154
86	"ENSMUSG00000031511"	"Arhgef7"	chr8	+	11781154	11782655	11781154	11781239	11782524	11782655	86	1,1,1,1,0,0	4,9,2,1,1,6	0,1,1,1,0,0	2,6,7,3,6,3	1381	96	1	1.0	0.017,0.008,0.034,0.065,0.0,0.0	0.0,0.011,0.01,0.023,0.0,0.0	0.013
87	"ENSMUSG00000039220"	"Ppp1r10"	chr17	+	35927909	35928329	35927909	35928010	35928181	35928329	87	0,0,0,0,1,0	3,7,4,5,2,5	0,0,1,0,0,2	5,5,7,6,9,15	267	96	1	1.0	0.0,0.0,0.0,0.0,0.152,0.0	0.0,0.0,0.049,0.0,0.0,0.046	0.009
88	"ENSMUSG00000031388"	"Naa10"	chrX	-	73919501	73919869	73919501	73919540	73919753	73919869	88	0,5,1,3,0,3	0,0,0,0,0,0	1,4,1,1,3,6	0,0,0,1,0,0	309	96	1	1.0	NA,1.0,1.0,1.0,NA,1.0	1.0,1.0,1.0,0.237,1.0,1.0	0.127
89	"ENSMUSG00000031388"	"Naa10"	chrX	-	73919501	73919869	73919501	73919546	73919753	73919869	89	0,4,1,2,0,1	4,15,11,4,6,12	0,2,1,1,2,4	10,10,9,19,11,17	303	96	0.737891824502	1.0	0.0,0.078,0.028,0.137,0.0,0.026	0.0,0.06,0.034,0.016,0.054,0.069	0.006
90	"ENSMUSG00000063268"	"Parp10"	chr15	-	76241657	76242639	76241657	76242322	76242402	76242639	90	0,0,0,0,0,0	0,0,2,0,0,1	1,0,0,0,0,0	1,2,8,9,4,6	176	96	1	1.0	NA,NA,0.0,NA,NA,0.0	0.353,0.0,0.0,0.0,0.0,0.0	-0.059
91	"ENSMUSG00000022978"	"Mis18a"	chr16	-	90719311	90720750	90719311	90719978	90720653	90720750	91	0,3,2,1,2,1	0,0,0,0,0,0	0,3,2,3,0,4	0,0,1,0,0,0	771	96	1	1.0	NA,1.0,1.0,1.0,1.0,1.0	NA,1.0,0.199,1.0,NA,1.0	0.2
92	"ENSMUSG00000022978"	"Mis18a"	chr16	-	90726292	90727404	90726292	90726359	90727025	90727404	92	0,0,0,0,2,1	0,1,0,0,0,0	0,0,1,0,0,0	0,0,0,1,0,0	762	96	1	1.0	NA,0.0,NA,NA,1.0,1.0	NA,NA,1.0,0.0,NA,NA	0.167
93	"ENSMUSG00000022554"	"Hgh1"	chr15	+	76369855	76370253	76369855	76369954	76370161	76370253	93	1,0,0,0,0,0	0,2,0,0,1,4	1,0,0,0,0,0	2,1,0,0,0,2	303	96	1	1.0	1.0,0.0,NA,NA,0.0,0.0	0.137,0.0,NA,NA,NA,0.0	0.204
94	"ENSMUSG00000024818"	"Slc25a45"	chr19	+	5884344	5885766	5884344	5884603	5884722	5885766	94	1,0,4,3,1,1	7,5,2,2,6,8	0,1,2,0,1,2	0,6,6,10,8,13	215	96	1	1.0	0.06,0.0,0.472,0.401,0.069,0.053	NA,0.069,0.13,0.0,0.053,0.064	0.113
95	"ENSMUSG00000021486"	"Prelid1"	chr13	+	55324330	55324605	55324330	55324444	55324526	55324605	95	0,0,2,1,1,0	50,88,35,50,46,45	1,1,1,1,0,5	82,111,70,123,73,105	178	96	1	1.0	0.0,0.0,0.03,0.011,0.012,0.0	0.007,0.005,0.008,0.004,0.0,0.025	0.001
96	"ENSMUSG00000031232"	"Magt1"	chrX	-	105968083	105971479	105968083	105971026	105971435	105971479	96	51,55,24,29,29,51	2,0,0,0,1,0	37,57,59,63,43,63	0,0,1,0,2,0	505	96	1	1.0	0.829,1.0,1.0,1.0,0.846,1.0	1.0,1.0,0.918,1.0,0.803,1.0	-0.008
102	"ENSMUSG00000022620"	"Arsa"	chr15	-	89474539	89475005	89474539	89474709	89474786	89475005	102	0,0,0,0,0,1	3,1,0,0,0,2	0,0,0,1,0,0	1,0,0,2,2,0	173	96	1	1.0	0.0,0.0,NA,NA,NA,0.217	0.0,NA,NA,0.217,0.0,NA	0.0
103	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89185361	89185647	89185361	89185464	89185537	89185647	103	0,0,1,0,0,0	1,3,0,0,0,1	0,1,0,1,0,0	2,0,3,1,4,0	169	96	1	1.0	0.0,0.0,1.0,NA,NA,0.0	0.0,1.0,0.0,0.362,0.0,NA	-0.022
104	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89185361	89186047	89185361	89185647	89185993	89186047	104	0,1,1,2,0,1	0,0,3,0,0,0	0,0,0,1,0,3	0,0,0,4,1,2	442	96	1	1.0	NA,1.0,0.068,1.0,NA,1.0	NA,NA,NA,0.052,0.0,0.246	0.668
105	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186171	89186819	89186171	89186261	89186362	89186819	105	0,0,0,1,2,0	2,4,0,0,1,2	0,0,0,1,2,0	0,1,1,3,0,4	197	96	1	1.0	0.0,0.0,NA,1.0,0.494,0.0	NA,0.0,0.0,0.14,1.0,0.0	0.071
107	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186362	89186819	89186362	89186427	89186753	89186819	107	2,5,2,0,1,1	3,0,0,0,0,0	1,0,2,3,1,1	0,0,0,1,0,3	422	96	1	1.0	0.132,1.0,1.0,NA,1.0,1.0	1.0,NA,1.0,0.406,1.0,0.07	0.131
108	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89186998	89187147	89187243	108	2,4,5,2,3,4	0,0,0,0,0,0	1,2,2,0,1,1	0,0,1,0,0,0	245	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.439,NA,1.0,1.0	0.112
109	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89186955	89187243	89186955	89187050	89187147	89187243	109	1,1,3,1,3,3	0,1,0,0,0,0	0,1,2,0,1,0	2,0,0,0,1,0	193	96	1	1.0	1.0,0.332,1.0,1.0,1.0,1.0	0.0,1.0,1.0,NA,0.332,NA	0.306
110	"ENSMUSG00000063800"	"Prpf38a"	chr4	-	108568357	108570266	108568357	108568470	108570155	108570266	110	2,2,0,0,1,2	0,8,4,6,4,3	2,1,2,1,0,2	2,2,7,3,2,10	1781	96	1	1.0	1.0,0.013,0.0,0.0,0.013,0.035	0.051,0.026,0.015,0.018,0.0,0.011	0.157
112	"ENSMUSG00000079179"	"Rab10os"	chr12	+	3235525	3237412	3235525	3235929	3237284	3237412	112	4,2,0,0,3,1	0,0,0,0,1,0	2,3,1,0,2,2	0,0,1,1,0,0	1451	96	1	1.0	1.0,1.0,NA,NA,0.166,1.0	1.0,1.0,0.062,0.0,1.0,1.0	0.115
113	"ENSMUSG00000005481"	"Ddx39"	chr8	+	83721733	83722361	83721733	83721852	83722229	83722361	113	5,5,1,5,1,6	3,9,1,4,2,3	2,3,3,5,1,5	0,1,7,5,1,3	473	96	0.778258193943	1.0	0.253,0.101,0.169,0.202,0.092,0.289	1.0,0.378,0.08,0.169,0.169,0.253	-0.157
114	"ENSMUSG00000031601"	"Cnot7"	chr8	-	40499294	40500913	40499294	40499439	40500751	40500913	114	0,1,1,0,0,0	5,7,2,7,3,5	0,0,2,0,1,0	6,8,7,8,6,3	1408	96	1	1.0	0.0,0.01,0.033,0.0,0.0,0.0	0.0,0.0,0.019,0.0,0.011,0.0	0.002
116	"ENSMUSG00000063704"	"Mapk15"	chr15	+	75998549	75999154	75998549	75998678	75998778	75999154	116	0,2,2,3,1,1	1,3,0,3,1,2	0,1,0,0,3,3	1,1,1,3,6,1	196	96	0.232461178063	1.0	0.0,0.246,1.0,0.329,0.329,0.197	0.0,0.329,0.0,0.0,0.197,0.595	0.163
117	"ENSMUSG00000027889"	"Ampd2"	chr3	-	108075248	108075704	108075248	108075359	108075530	108075704	117	3,4,1,2,2,1	2,1,0,0,0,3	1,1,1,2,2,3	0,1,2,4,2,4	267	96	0.0281480310487	0.550592546725	0.35,0.59,1.0,1.0,1.0,0.107	1.0,0.264,0.152,0.152,0.264,0.212	0.334
118	"ENSMUSG00000027889"	"Ampd2"	chr3	-	108079184	108079773	108079184	108079326	108079586	108079773	118	0,5,0,1,0,8	1,7,1,2,0,0	0,5,0,6,2,2	1,0,6,3,4,1	356	96	1	1.0	0.0,0.162,0.0,0.119,NA,1.0	0.0,1.0,0.0,0.35,0.119,0.35	-0.047
119	"ENSMUSG00000027889"	"Ampd2"	chr3	-	108080266	108080774	108080266	108080335	108080643	108080774	119	1,1,1,1,0,2	1,0,1,1,1,1	2,3,0,0,0,1	0,1,1,0,0,2	404	96	1	1.0	0.192,1.0,0.192,0.192,0.0,0.322	1.0,0.416,0.0,NA,NA,0.106	-0.064
